topicid,type,qsid,qcount,qid,options,key,uid,ans,correct,mid,topicname,userid,user,name,group
OOPUY-PRE,pre,1,20,20,"78,77,80,79",78,451,78,1,17,OOP-Concept Yarsi University,451,1402020030,536705a121194,41
OOPUY-PRE,pre,1,20,1,"3,2,1,4",3,452,4,0,17,OOP-Concept Yarsi University,452,1402020090,53e505a719708,41
OOPUY-PRE,pre,1,20,2,"7,6,5,8",7,452,8,0,17,OOP-Concept Yarsi University,452,1402020090,53e505a719708,41
OOPUY-PRE,pre,1,20,3,"11,10,9,12",11,452,9,0,17,OOP-Concept Yarsi University,452,1402020090,53e505a719708,41
OOPUY-PRE,pre,1,20,4,"14,13,16,15",15,452,14,0,17,OOP-Concept Yarsi University,452,1402020090,53e505a719708,41
OOPUY-PRE,pre,1,20,5,"18,17,20,19",19,452,17,0,17,OOP-Concept Yarsi University,452,1402020090,53e505a719708,41
OOPUY-PRE,pre,1,20,6,"21,24,23,22",21,452,21,1,17,OOP-Concept Yarsi University,452,1402020090,53e505a719708,41
OOPUY-PRE,pre,1,20,7,"25,28,27,26",25,452,28,0,17,OOP-Concept Yarsi University,452,1402020090,53e505a719708,41
OOPUY-PRE,pre,1,20,8,"32,31,30,29",30,452,30,1,17,OOP-Concept Yarsi University,452,1402020090,53e505a719708,41
OOPUY-PRE,pre,1,20,9,"35,34,33,36",35,452,35,1,17,OOP-Concept Yarsi University,452,1402020090,53e505a719708,41
OOPUY-PRE,pre,1,20,10,"39,38,37,40",40,452,39,0,17,OOP-Concept Yarsi University,452,1402020090,53e505a719708,41
OOPUY-PRE,pre,1,20,11,"43,42,41,44",42,452,41,0,17,OOP-Concept Yarsi University,452,1402020090,53e505a719708,41
OOPUY-PRE,pre,1,20,12,"46,45,48,47",46,452,45,0,17,OOP-Concept Yarsi University,452,1402020090,53e505a719708,41
OOPUY-PRE,pre,1,20,13,"50,49,52,51",51,452,50,0,17,OOP-Concept Yarsi University,452,1402020090,53e505a719708,41
OOPUY-PRE,pre,1,20,14,"53,56,55,54",55,452,53,0,17,OOP-Concept Yarsi University,452,1402020090,53e505a719708,41
OOPUY-PRE,pre,1,20,15,"57,60,59,58",57,452,59,0,17,OOP-Concept Yarsi University,452,1402020090,53e505a719708,41
OOPUY-PRE,pre,1,20,16,"64,63,62,61",61,452,61,1,17,OOP-Concept Yarsi University,452,1402020090,53e505a719708,41
OOPUY-PRE,pre,1,20,17,"67,66,65,68",67,452,67,1,17,OOP-Concept Yarsi University,452,1402020090,53e505a719708,41
OOPUY-PRE,pre,1,20,18,"71,70,69,72",70,452,72,0,17,OOP-Concept Yarsi University,452,1402020090,53e505a719708,41
OOPUY-PRE,pre,1,20,19,"75,74,73,76",73,452,74,0,17,OOP-Concept Yarsi University,452,1402020090,53e505a719708,41
OOPUY-PRE,pre,1,20,20,"78,77,80,79",78,452,78,1,17,OOP-Concept Yarsi University,452,1402020090,53e505a719708,41
OOPUY-PRE,pre,1,20,1,"3,2,1,4",3,453,1,0,17,OOP-Concept Yarsi University,453,1402020089,548405af20132,41
OOPUY-PRE,pre,1,20,2,"7,6,5,8",7,453,8,0,17,OOP-Concept Yarsi University,453,1402020089,548405af20132,41
OOPUY-PRE,pre,1,20,3,"11,10,9,12",11,453,11,1,17,OOP-Concept Yarsi University,453,1402020089,548405af20132,41
OOPUY-PRE,pre,1,20,4,"14,13,16,15",15,453,15,1,17,OOP-Concept Yarsi University,453,1402020089,548405af20132,41
OOPUY-PRE,pre,1,20,5,"18,17,20,19",19,453,19,1,17,OOP-Concept Yarsi University,453,1402020089,548405af20132,41
OOPUY-PRE,pre,1,20,6,"21,24,23,22",21,453,21,1,17,OOP-Concept Yarsi University,453,1402020089,548405af20132,41
OOPUY-PRE,pre,1,20,7,"25,28,27,26",25,453,25,1,17,OOP-Concept Yarsi University,453,1402020089,548405af20132,41
OOPUY-PRE,pre,1,20,8,"32,31,30,29",30,453,30,1,17,OOP-Concept Yarsi University,453,1402020089,548405af20132,41
OOPUY-PRE,pre,1,20,9,"35,34,33,36",35,453,35,1,17,OOP-Concept Yarsi University,453,1402020089,548405af20132,41
OOPUY-PRE,pre,1,20,10,"39,38,37,40",40,453,37,0,17,OOP-Concept Yarsi University,453,1402020089,548405af20132,41
OOPUY-PRE,pre,1,20,11,"43,42,41,44",42,453,41,0,17,OOP-Concept Yarsi University,453,1402020089,548405af20132,41
OOPUY-PRE,pre,1,20,12,"46,45,48,47",46,453,46,1,17,OOP-Concept Yarsi University,453,1402020089,548405af20132,41
OOPUY-PRE,pre,1,20,13,"50,49,52,51",51,453,51,1,17,OOP-Concept Yarsi University,453,1402020089,548405af20132,41
OOPUY-PRE,pre,1,20,14,"53,56,55,54",55,453,55,1,17,OOP-Concept Yarsi University,453,1402020089,548405af20132,41
OOPUY-PRE,pre,1,20,15,"57,60,59,58",57,453,59,0,17,OOP-Concept Yarsi University,453,1402020089,548405af20132,41
OOPUY-PRE,pre,1,20,16,"64,63,62,61",61,453,61,1,17,OOP-Concept Yarsi University,453,1402020089,548405af20132,41
OOPUY-PRE,pre,1,20,17,"67,66,65,68",67,453,67,1,17,OOP-Concept Yarsi University,453,1402020089,548405af20132,41
OOPUY-PRE,pre,1,20,18,"71,70,69,72",70,453,69,0,17,OOP-Concept Yarsi University,453,1402020089,548405af20132,41
OOPUY-PRE,pre,1,20,19,"75,74,73,76",73,453,73,1,17,OOP-Concept Yarsi University,453,1402020089,548405af20132,41
OOPUY-PRE,pre,1,20,20,"78,77,80,79",78,453,78,1,17,OOP-Concept Yarsi University,453,1402020089,548405af20132,41
OOPUY-PRE,pre,1,20,1,"3,2,1,4",3,454,3,1,17,OOP-Concept Yarsi University,454,1402020076,543305ab20964,41
OOPUY-PRE,pre,1,20,2,"7,6,5,8",7,454,7,1,17,OOP-Concept Yarsi University,454,1402020076,543305ab20964,41
OOPUY-PRE,pre,1,20,3,"11,10,9,12",11,454,10,0,17,OOP-Concept Yarsi University,454,1402020076,543305ab20964,41
OOPUY-PRE,pre,1,20,4,"14,13,16,15",15,454,15,1,17,OOP-Concept Yarsi University,454,1402020076,543305ab20964,41
OOPUY-PRE,pre,1,20,5,"18,17,20,19",19,454,19,1,17,OOP-Concept Yarsi University,454,1402020076,543305ab20964,41
OOPUY-PRE,pre,1,20,6,"21,24,23,22",21,454,21,1,17,OOP-Concept Yarsi University,454,1402020076,543305ab20964,41
OOPUY-PRE,pre,1,20,7,"25,28,27,26",25,454,25,1,17,OOP-Concept Yarsi University,454,1402020076,543305ab20964,41
OOPUY-PRE,pre,1,20,8,"32,31,30,29",30,454,30,1,17,OOP-Concept Yarsi University,454,1402020076,543305ab20964,41
OOPUY-PRE,pre,1,20,9,"35,34,33,36",35,454,35,1,17,OOP-Concept Yarsi University,454,1402020076,543305ab20964,41
OOPUY-PRE,pre,1,20,10,"39,38,37,40",40,454,40,1,17,OOP-Concept Yarsi University,454,1402020076,543305ab20964,41
OOPUY-PRE,pre,1,20,11,"43,42,41,44",42,454,42,1,17,OOP-Concept Yarsi University,454,1402020076,543305ab20964,41
OOPUY-PRE,pre,1,20,12,"46,45,48,47",46,454,46,1,17,OOP-Concept Yarsi University,454,1402020076,543305ab20964,41
OOPUY-PRE,pre,1,20,13,"50,49,52,51",51,454,51,1,17,OOP-Concept Yarsi University,454,1402020076,543305ab20964,41
OOPUY-PRE,pre,1,20,14,"53,56,55,54",55,454,55,1,17,OOP-Concept Yarsi University,454,1402020076,543305ab20964,41
OOPUY-PRE,pre,1,20,15,"57,60,59,58",57,454,57,1,17,OOP-Concept Yarsi University,454,1402020076,543305ab20964,41
OOPUY-PRE,pre,1,20,16,"64,63,62,61",61,454,61,1,17,OOP-Concept Yarsi University,454,1402020076,543305ab20964,41
OOPUY-PRE,pre,1,20,17,"67,66,65,68",67,454,67,1,17,OOP-Concept Yarsi University,454,1402020076,543305ab20964,41
OOPUY-PRE,pre,1,20,18,"71,70,69,72",70,454,70,1,17,OOP-Concept Yarsi University,454,1402020076,543305ab20964,41
OOPUY-PRE,pre,1,20,19,"75,74,73,76",73,454,73,1,17,OOP-Concept Yarsi University,454,1402020076,543305ab20964,41
OOPUY-PRE,pre,1,20,20,"78,77,80,79",78,454,78,1,17,OOP-Concept Yarsi University,454,1402020076,543305ab20964,41
OOPUY-PRE,pre,1,20,1,"3,2,1,4",3,455,3,1,17,OOP-Concept Yarsi University,455,1402020033,53a305a421335,41
OOPUY-PRE,pre,1,20,2,"7,6,5,8",7,455,5,0,17,OOP-Concept Yarsi University,455,1402020033,53a305a421335,41
OOPUY-PRE,pre,1,20,3,"11,10,9,12",11,455,12,0,17,OOP-Concept Yarsi University,455,1402020033,53a305a421335,41
OOPUY-PRE,pre,1,20,4,"14,13,16,15",15,455,14,0,17,OOP-Concept Yarsi University,455,1402020033,53a305a421335,41
OOPUY-PRE,pre,1,20,5,"18,17,20,19",19,455,20,0,17,OOP-Concept Yarsi University,455,1402020033,53a305a421335,41
OOPUY-PRE,pre,1,20,6,"21,24,23,22",21,455,21,1,17,OOP-Concept Yarsi University,455,1402020033,53a305a421335,41
OOPUY-PRE,pre,1,20,7,"25,28,27,26",25,455,28,0,17,OOP-Concept Yarsi University,455,1402020033,53a305a421335,41
OOPUY-PRE,pre,1,20,8,"32,31,30,29",30,455,30,1,17,OOP-Concept Yarsi University,455,1402020033,53a305a421335,41
OOPUY-PRE,pre,1,20,9,"35,34,33,36",35,455,35,1,17,OOP-Concept Yarsi University,455,1402020033,53a305a421335,41
OOPUY-PRE,pre,1,20,10,"39,38,37,40",40,455,40,1,17,OOP-Concept Yarsi University,455,1402020033,53a305a421335,41
OOPUY-PRE,pre,1,20,11,"43,42,41,44",42,455,41,0,17,OOP-Concept Yarsi University,455,1402020033,53a305a421335,41
OOPUY-PRE,pre,1,20,12,"46,45,48,47",46,455,46,1,17,OOP-Concept Yarsi University,455,1402020033,53a305a421335,41
OOPUY-PRE,pre,1,20,13,"50,49,52,51",51,455,49,0,17,OOP-Concept Yarsi University,455,1402020033,53a305a421335,41
OOPUY-PRE,pre,1,20,14,"53,56,55,54",55,455,53,0,17,OOP-Concept Yarsi University,455,1402020033,53a305a421335,41
OOPUY-PRE,pre,1,20,15,"57,60,59,58",57,455,59,0,17,OOP-Concept Yarsi University,455,1402020033,53a305a421335,41
OOPUY-PRE,pre,1,20,16,"64,63,62,61",61,455,61,1,17,OOP-Concept Yarsi University,455,1402020033,53a305a421335,41
OOPUY-PRE,pre,1,20,17,"67,66,65,68",67,455,66,0,17,OOP-Concept Yarsi University,455,1402020033,53a305a421335,41
OOPUY-PRE,pre,1,20,18,"71,70,69,72",70,455,72,0,17,OOP-Concept Yarsi University,455,1402020033,53a305a421335,41
OOPUY-PRE,pre,1,20,19,"75,74,73,76",73,455,73,1,17,OOP-Concept Yarsi University,455,1402020033,53a305a421335,41
OOPUY-PRE,pre,1,20,20,"78,77,80,79",78,455,78,1,17,OOP-Concept Yarsi University,455,1402020033,53a305a421335,41
OOPUY-PRE,pre,1,20,1,"3,2,1,4",3,456,1,0,17,OOP-Concept Yarsi University,456,1402020113,538f05a321730,41
OOPUY-PRE,pre,1,20,2,"7,6,5,8",7,456,8,0,17,OOP-Concept Yarsi University,456,1402020113,538f05a321730,41
OOPUY-PRE,pre,1,20,3,"11,10,9,12",11,456,9,0,17,OOP-Concept Yarsi University,456,1402020113,538f05a321730,41
OOPUY-PRE,pre,1,20,4,"14,13,16,15",15,456,14,0,17,OOP-Concept Yarsi University,456,1402020113,538f05a321730,41
OOPUY-PRE,pre,1,20,5,"18,17,20,19",19,456,17,0,17,OOP-Concept Yarsi University,456,1402020113,538f05a321730,41
OOPUY-PRE,pre,1,20,6,"21,24,23,22",21,456,21,1,17,OOP-Concept Yarsi University,456,1402020113,538f05a321730,41
OOPUY-PRE,pre,1,20,7,"25,28,27,26",25,456,25,1,17,OOP-Concept Yarsi University,456,1402020113,538f05a321730,41
OOPUY-PRE,pre,1,20,8,"32,31,30,29",30,456,30,1,17,OOP-Concept Yarsi University,456,1402020113,538f05a321730,41
OOPUY-PRE,pre,1,20,9,"35,34,33,36",35,456,35,1,17,OOP-Concept Yarsi University,456,1402020113,538f05a321730,41
OOPUY-PRE,pre,1,20,10,"39,38,37,40",40,456,40,1,17,OOP-Concept Yarsi University,456,1402020113,538f05a321730,41
OOPUY-PRE,pre,1,20,11,"43,42,41,44",42,456,42,1,17,OOP-Concept Yarsi University,456,1402020113,538f05a321730,41
OOPUY-PRE,pre,1,20,12,"46,45,48,47",46,456,47,0,17,OOP-Concept Yarsi University,456,1402020113,538f05a321730,41
OOPUY-PRE,pre,1,20,13,"50,49,52,51",51,456,51,1,17,OOP-Concept Yarsi University,456,1402020113,538f05a321730,41
OOPUY-PRE,pre,1,20,14,"53,56,55,54",55,456,55,1,17,OOP-Concept Yarsi University,456,1402020113,538f05a321730,41
OOPUY-PRE,pre,1,20,15,"57,60,59,58",57,456,60,0,17,OOP-Concept Yarsi University,456,1402020113,538f05a321730,41
OOPUY-PRE,pre,1,20,16,"64,63,62,61",61,456,61,1,17,OOP-Concept Yarsi University,456,1402020113,538f05a321730,41
OOPUY-PRE,pre,1,20,17,"67,66,65,68",67,456,67,1,17,OOP-Concept Yarsi University,456,1402020113,538f05a321730,41
OOPUY-PRE,pre,1,20,18,"71,70,69,72",70,456,70,1,17,OOP-Concept Yarsi University,456,1402020113,538f05a321730,41
